,Name,Ticker
0,Bitcoin USD,BTC-USD
1,Ethereum USD,ETH-USD
2,Tether USD,USDT-USD
3,USD Coin USD,USDC-USD
4,Binance Coin USD,BNB-USD
5,Binance USD USD,BUSD-USD
6,XRP USD,XRP-USD
7,Cardano USD,ADA-USD
8,Solana USD,SOL-USD
9,Dogecoin USD,DOGE-USD
10,Polkadot USD,DOT-USD
11,Dai USD,DAI-USD
12,Wrapped TRON USD,WTRX-USD
13,HEX USD,HEX-USD
14,TRON USD,TRX-USD
15,SHIBA INU USD,SHIB-USD
16,UNUS SED LEO USD,LEO-USD
17,Avalanche USD,AVAX-USD
18,Wrapped Bitcoin USD,WBTC-USD
19,yOUcash USD,YOUC-USD
20,Polygon USD,MATIC-USD
21,Lido stETH USD,STETH-USD
22,Uniswap USD,UNI1-USD
23,FTX Token USD,FTT-USD
24,Litecoin USD,LTC-USD
25,Crypto.com Coin USD,CRO-USD
26,Chainlink USD,LINK-USD
27,Stellar USD,XLM-USD
28,NEAR Protocol USD,NEAR-USD
29,Cosmos USD,ATOM-USD
30,Monero USD,XMR-USD
31,Algorand USD,ALGO-USD
32,Bitcoin BEP2 USD,BTCB-USD
33,Ethereum Classic USD,ETC-USD
34,Bitcoin Cash USD,BCH-USD
35,Chain USD,XCN1-USD
36,VeChain USD,VET-USD
37,Decentraland USD,MANA-USD
38,Flow USD,FLOW-USD
39,The Sandbox USD,SAND-USD
40,ApeCoin USD,APE3-USD
41,Tezos USD,XTZ-USD
42,Frax USD,FRAX-USD
43,Internet Computer USD,ICP-USD
44,Hedera USD,HBAR-USD
45,Toncoin USD,TONCOIN-USD
46,Filecoin USD,FIL-USD
47,THETA USD,THETA-USD
48,Axie Infinity USD,AXS-USD
49,Elrond USD,EGLD-USD
50,TrueUSD USD,TUSD-USD
51,Helium USD,HNT-USD
52,Wrapped BNB USD,WBNB-USD
53,Bitcoin SV USD,BSV-USD
54,EOS USD,EOS-USD
55,Maker USD,MKR-USD
56,Pax Dollar USD,USDP-USD
57,Aave USD,AAVE-USD
58,KuCoin Token USD,KCS-USD
59,Zcash USD,ZEC-USD
60,BitTorrent (new) USD,BTT2-USD
61,eCash USD,XEC-USD
62,Huobi BTC USD,HBTC-USD
63,IOTA USD,MIOTA-USD
64,OKB USD,OKB-USD
65,Neutrino USD USD,USDN-USD
66,THORChain USD,RUNE-USD
67,Quant USD,QNT-USD
68,Terra USD,LUNA1-USD
69,USDD USD,USDD-USD
70,Huobi Token USD,HT-USD
71,The Graph USD,GRT1-USD
72,GensoKishiâ€™s Metaverse USD,MV-USD
73,Klaytn USD,KLAY-USD
74,Basic Attention Token USD,BAT-USD
75,Fantom USD,FTM-USD
76,Neo USD,NEO-USD
77,Chiliz USD,CHZ-USD
78,BitTorrent USD,BTT-USD
79,Green Metaverse Token USD,GMT3-USD
80,PAX Gold USD,PAXG-USD
81,Waves USD,WAVES-USD
82,Loopring USD,LRC-USD
83,Stacks USD,STX-USD
84,Zilliqa USD,ZIL-USD
85,Curve DAO Token USD,CRV-USD
86,TerraUSD USD,UST-USD
87,DeFiChain USD,DFI-USD
88,Enjin Coin USD,ENJ-USD
89,Dash USD,DASH-USD
90,PancakeSwap USD,CAKE-USD
91,Tether Gold USD,XAUT-USD
92,Kusama USD,KSM-USD
93,Fruits USD,FRTS-USD
94,Fei USD USD,FEI-USD
95,Celo USD,CELO-USD
96,Kava USD,KAVA-USD
97,Arweave USD,AR-USD
98,Mina USD,MINA-USD
99,Amp USD,AMP-USD
